16,200
16,200
17,200
20,200
19,200
17,200
20,200
19,200
19,200
21,200
17,200
19,200
22,200
20,200
20,200
18,200
18,200
18,200
19,200
20,200
22,200
19,200
20,200
19,200
17,200
18,200
19,200
17,200
19,200
19,200
17,200
24,200
20,200
17,200
24,200
19,200
20,200
20,200
18,200
22,200
20,200
17,200
16,200
18,200
21,200
18,200
16,200
16,200
20,200
20,200
20,200
18,200
17,200
18,200
18,200
17,200
20,200
20,200
23,200
21,200
20,200
19,200
16,200
21,200
17,200
23,200
18,200
18,200
18,200
17,200
17,200
18,200
19,200
21,200
19,200
19,200
20,200
17,200
21,200
17,200
20,200
23,200
21,200
23,200
19,200
21,200
18,200
17,200
18,200
18,200
16,200
21,200
22,200
21,200
35,200
19,200
19,200
23,200
19,200
19,200
19,200
19,200
16,200
15,200
15,200
17,200
17,200
16,200
18,200
18,200
18,200
17,200
18,200
16,200
17,200
17,200
17,200
17,200
18,200
15,200
17,200
16,200
20,200
17,200
17,200
20,200
19,200
19,200
17,200
17,200
18,200
17,200
17,200
17,200
19,200
19,200
19,200
16,200
19,200
18,200
17,200
18,200
18,200
18,200
18,200
20,200
19,200
19,200
20,200
18,200
16,200
17,200
21,200
16,200
18,200
22,200
17,200
18,200
24,200
18,200
19,200
22,200
22,200
18,200
18,200
20,200
18,200
17,200
18,200
18,200
19,200
16,200
17,200
18,200
17,200
20,200
17,200
18,200
18,200
17,200
16,200
18,200
19,200
19,200
16,200
23,200
18,200
18,200
17,200
18,200
21,200
21,200
16,200
18,200
19,200
18,200
20,200
26,200
18,200
17,200
17,200
16,200
18,200
17,200
20,200
20,200
19,200
18,200
19,200
19,200
16,200
22,200
18,200
17,200
23,200
17,200
16,200
19,200
18,200
17,200
17,200
18,200
17,200
17,200
18,200
23,200
18,200
17,200
16,200
18,200
18,200
16,200
17,200
17,200
17,200
16,200
18,200
18,200
17,200
20,200
16,200
17,200
20,200
17,200
17,200
16,200
20,200
19,200
17,200
16,200
19,200
17,200
17,200
17,200
16,200
18,200
19,200
25,200
18,200
22,200
17,200
16,200
18,200
18,200
17,200
19,200
20,200
20,200
18,200
17,200
16,200
21,200
19,200
22,200
17,200
17,200
23,200
21,200
20,200
18,200
22,200
17,200
16,200
18,200
16,200
18,200
17,200
21,200
21,200
19,200
18,200
18,200
20,200
21,200
16,200
18,200
20,200
16,200
18,200
21,200
19,200
16,200
17,200
18,200
17,200
19,200
20,200
19,200
18,200
20,200
17,200
17,200
15,200
18,200
19,200
18,200
15,200
20,200
18,200
16,200
24,200
18,200
18,200
20,200
17,200
18,200
16,200
20,200
17,200
15,200
20,200
20,200
17,200
19,200
17,200
20,200
18,200
22,200
20,200
21,200
19,200
18,200
19,200
24,200
18,200
17,200
19,200
17,200
17,200
17,200
18,200
19,200
18,200
18,200
18,200
18,200
17,200
23,200
19,200
16,200
23,200
22,200
17,200
20,200
23,200
23,200
19,200
21,200
19,200
17,200
18,200
19,200
17,200
20,200
17,200
16,200
16,200
20,200
17,200
20,200
16,200
23,200
17,200
21,200
18,200
19,200
22,200
18,200
18,200
16,200
20,200
18,200
17,200
19,200
18,200
19,200
18,200
21,200
17,200
18,200
17,200
15,200
15,200
18,200
18,200
21,200
29,200
18,200
25,200
17,200
16,200
16,200
17,200
18,200
17,200
16,200
20,200
16,200
17,200
16,200
16,200
16,200
20,200
16,200
21,200
19,200
17,200
18,200
17,200
19,200
17,200
23,200
18,200
16,200
17,200
17,200
19,200
17,200
24,200
21,200
24,200
17,200
20,200
16,200
16,200
20,200
18,200
20,200
20,200
17,200
19,200
20,200
20,200
17,200
18,200
18,200
18,200
20,200
18,200
17,200
20,200
21,200
17,200
27,200
18,200
20,200
25,200
32,200
28,200
38,200
36,200
31,200
20,200
32,200
19,200
18,200
17,200
21,200
20,200
18,200
18,200
18,200
20,200
17,200
18,200
16,200
16,200
19,200
16,200
18,200
22,200
26,200
21,200
20,200
19,200
23,200
19,200
20,200
18,200
18,200
16,200
19,200
17,200
20,200
16,200
17,200
